Date,Open,High,Low,Close,Adj Close,Volume,Nombre
19/03/20,2.45,2.45,2.43,2.43,2.43,651,Grupo_Famsa
20/03/20,2.45,2.5,2.44,2.5,2.5,123201,Grupo_Famsa
23/03/20,2.5,2.5,2.5,2.5,2.5,0,Grupo_Famsa
24/03/20,2.44,2.45,2.35,2.35,2.35,4693,Grupo_Famsa
25/03/20,2.35,2.35,2.21,2.29,2.29,77677,Grupo_Famsa
26/03/20,2.3,2.3,2.19,2.28,2.28,12131,Grupo_Famsa
27/03/20,2.28,2.28,2.09,2.15,2.15,86461,Grupo_Famsa
30/03/20,2.21,2.21,2,2.02,2.02,28848,Grupo_Famsa
31/03/20,2,2.03,1.95,1.99,1.99,205480,Grupo_Famsa
01/04/20,1.98,1.98,1.92,1.93,1.93,67960,Grupo_Famsa
02/04/20,1.99,2.01,1.98,1.98,1.98,12865,Grupo_Famsa
03/04/20,1.98,1.98,1.95,1.98,1.98,3694,Grupo_Famsa
06/04/20,2.03,2.03,2.02,2.02,2.02,791,Grupo_Famsa
07/04/20,2.01,2.09,1.95,1.98,1.98,35695,Grupo_Famsa
08/04/20,1.99,2,1.98,2,2,29637,Grupo_Famsa
13/04/20,2.06,2.19,2.06,2.17,2.17,72580,Grupo_Famsa
14/04/20,2.22,2.22,2.16,2.16,2.16,10969,Grupo_Famsa
15/04/20,2.16,2.16,2.1,2.16,2.16,1714,Grupo_Famsa
16/04/20,2.1,2.1,1.98,2,2,35355,Grupo_Famsa
17/04/20,2.05,2.05,1.95,2.03,2.03,14562,Grupo_Famsa
20/04/20,2.03,2.03,2,2,2,1153,Grupo_Famsa
21/04/20,1.98,2,1.95,2,2,51883,Grupo_Famsa
22/04/20,2.03,2.08,1.98,2.06,2.06,34612,Grupo_Famsa
23/04/20,2.1,2.13,2,2,2,6339,Grupo_Famsa
24/04/20,2.05,2.05,1.94,2.03,2.03,11312,Grupo_Famsa
27/04/20,2,2.05,1.99,2.01,2.01,76739,Grupo_Famsa
28/04/20,2.03,2.34,2.03,2.15,2.15,220322,Grupo_Famsa
29/04/20,2.12,2.55,2.12,2.38,2.38,548857,Grupo_Famsa
30/04/20,2.38,2.46,2.28,2.34,2.34,238428,Grupo_Famsa
04/05/20,2.4,2.42,2.17,2.2,2.2,180468,Grupo_Famsa
05/05/20,2.2,2.37,2.15,2.18,2.18,222056,Grupo_Famsa
06/05/20,2.18,2.2,2.05,2.18,2.18,216101,Grupo_Famsa
07/05/20,2.17,2.17,2.1,2.14,2.14,99414,Grupo_Famsa
08/05/20,2.18,2.18,2.08,2.13,2.13,68402,Grupo_Famsa
11/05/20,2.13,2.14,2.03,2.05,2.05,141820,Grupo_Famsa
12/05/20,2.1,2.21,2.08,2.13,2.13,179696,Grupo_Famsa
13/05/20,2.19,2.19,2,2.04,2.04,46287,Grupo_Famsa
14/05/20,2.04,2.09,1.94,1.96,1.96,141047,Grupo_Famsa
15/05/20,1.97,2.02,1.96,2.01,2.01,103302,Grupo_Famsa
18/05/20,2.04,2.04,2.04,2.04,2.04,1655,Grupo_Famsa
19/05/20,2.03,2.09,2.03,2.08,2.08,56397,Grupo_Famsa
20/05/20,2.11,2.11,2.05,2.09,2.09,688,Grupo_Famsa
21/05/20,2.06,2.06,2,2,2,16170,Grupo_Famsa
22/05/20,2,2,1.9,1.98,1.98,190488,Grupo_Famsa
25/05/20,2.04,2.04,1.94,2,2,23893,Grupo_Famsa
26/05/20,2,2,1.89,1.93,1.93,157031,Grupo_Famsa
27/05/20,1.96,1.98,1.93,1.93,1.93,55357,Grupo_Famsa
28/05/20,1.95,1.95,1.92,1.93,1.93,94999,Grupo_Famsa
29/05/20,1.9,1.95,1.9,1.94,1.94,75651,Grupo_Famsa
01/06/20,1.99,1.99,1.89,1.9,1.9,217411,Grupo_Famsa
02/06/20,1.95,1.95,1.9,1.92,1.92,134502,Grupo_Famsa
03/06/20,1.9,1.95,1.89,1.93,1.93,527648,Grupo_Famsa
04/06/20,1.94,1.94,1.85,1.93,1.93,248824,Grupo_Famsa
05/06/20,1.96,1.97,1.88,1.96,1.96,959139,Grupo_Famsa
08/06/20,2,2,1.92,1.99,1.99,529232,Grupo_Famsa
09/06/20,2,2,1.94,1.98,1.98,303761,Grupo_Famsa
10/06/20,2,2,1.92,1.95,1.95,141913,Grupo_Famsa
11/06/20,1.92,1.92,1.87,1.89,1.89,296848,Grupo_Famsa
12/06/20,1.89,1.93,1.89,1.9,1.9,446611,Grupo_Famsa
15/06/20,1.9,1.9,1.88,1.9,1.9,121944,Grupo_Famsa
16/06/20,1.9,1.94,1.84,1.89,1.89,321094,Grupo_Famsa
17/06/20,1.93,1.93,1.86,1.87,1.87,77750,Grupo_Famsa
18/06/20,1.86,1.86,1.72,1.77,1.77,436710,Grupo_Famsa
19/06/20,1.77,1.78,1.72,1.76,1.76,166843,Grupo_Famsa
22/06/20,1.77,1.89,1.77,1.86,1.86,322694,Grupo_Famsa
23/06/20,1.87,1.91,1.82,1.82,1.82,66332,Grupo_Famsa
24/06/20,1.83,1.85,1.73,1.79,1.79,351633,Grupo_Famsa
25/06/20,1.77,1.83,1.76,1.82,1.82,92298,Grupo_Famsa
26/06/20,1.8,1.8,1.74,1.75,1.75,843388,Grupo_Famsa
29/06/20,1.74,1.74,1.25,1.28,1.28,1015927,Grupo_Famsa
30/06/20,1.3,1.3,1,1.19,1.19,868519,Grupo_Famsa
01/07/20,1.13,1.13,0.65,0.668,0.668,1178787,Grupo_Famsa
02/07/20,0.69,1.3,0.69,1.12,1.12,2488494,Grupo_Famsa
03/07/20,1.1,1.1,0.95,1.002,1.002,1263954,Grupo_Famsa
06/07/20,1.03,1.05,0.85,0.87,0.87,298486,Grupo_Famsa
07/07/20,0.87,0.89,0.86,0.86,0.86,1518042,Grupo_Famsa
08/07/20,0.865,0.88,0.78,0.788,0.788,400643,Grupo_Famsa
09/07/20,0.783,0.788,0.701,0.732,0.732,795133,Grupo_Famsa
10/07/20,0.722,0.787,0.71,0.754,0.754,398045,Grupo_Famsa
13/07/20,0.733,0.754,0.72,0.734,0.734,1634276,Grupo_Famsa
14/07/20,0.741,0.749,0.72,0.738,0.738,104729,Grupo_Famsa
15/07/20,0.75,0.755,0.66,0.7,0.7,650321,Grupo_Famsa
16/07/20,0.7,0.76,0.68,0.721,0.721,1547491,Grupo_Famsa
17/07/20,0.718,0.79,0.718,0.73,0.73,170064,Grupo_Famsa
20/07/20,0.73,0.74,0.701,0.71,0.71,126559,Grupo_Famsa
21/07/20,0.718,0.73,0.69,0.727,0.727,242958,Grupo_Famsa
22/07/20,0.72,0.73,0.7,0.706,0.706,307416,Grupo_Famsa
23/07/20,0.708,0.72,0.69,0.71,0.71,539387,Grupo_Famsa
24/07/20,0.72,0.72,0.705,0.705,0.705,260119,Grupo_Famsa
27/07/20,0.705,0.74,0.705,0.715,0.715,136724,Grupo_Famsa
28/07/20,0.715,0.715,0.69,0.705,0.705,79326,Grupo_Famsa
29/07/20,0.713,0.719,0.69,0.695,0.695,303838,Grupo_Famsa
30/07/20,0.693,0.713,0.69,0.699,0.699,75376,Grupo_Famsa
31/07/20,0.715,0.746,0.7,0.73,0.73,306109,Grupo_Famsa
03/08/20,0.73,0.73,0.711,0.728,0.728,74635,Grupo_Famsa
04/08/20,0.715,0.74,0.715,0.739,0.739,85499,Grupo_Famsa
05/08/20,0.74,0.749,0.72,0.734,0.734,79784,Grupo_Famsa
06/08/20,0.739,0.739,0.725,0.726,0.726,28901,Grupo_Famsa
